Link,Username,Description,Likes,Comments,Location
https://www.instagram.com/p/CrfVkyxKZWs/,artpetter1,"Painting, acrylic around 50x70 cm I made of #nacksta , Sundsvall spring 2021 #sundsvall #artoftheday #artbarcelona #barcelonaart #pintura #baseelementsgallery #baseelementsurbanartgallery #bcnacademyofart #bcn #barcelonastreeart #basquiat #miljonprojekt #arcitecture #sweden #catalunya_cultura #eixamplebcn #barcelonagothicquarter #slavaukraini #makeartnotwar #micorazon #brickbuilding",25,2,"Nacksta, Västernorrlands Län, Sweden"
https://www.instagram.com/p/CrfVrPIN4PQ/,brovary_journal,".
.
.
.
.
.
.
.

427🕔 #standwithukraine #stopwarinukraine #nowarinukraine #нетвойне #nowar #нівійні #украина #україна #ukraine #ua #бровари #brovary #бровары #nato #blog #blogger #киев #київ #kyiv #kiev #броварськагромада #місто #city #war #война #війна #перемога #зсу #slavaukraini
Photo by: @photofixation",37,0,None
https://www.instagram.com/p/CrfS962oTRX/,vesku.lanki,"🇫🇮Hyvää huomenta!
🇸🇪God morgon!
🇬🇧Good morning!
🇩🇪Guten Morgen!
🇫🇷Bonjour!
🇮🇹Buongiorno!
🇪🇸Buenos días!
🇺🇦доброго ранку!
•
#slavaukraini #bw #blackandwhite #monochrome #cityphotography #cityscape #landscape #merikaupunkikotka #kotka",12,0,Kotka
https://www.instagram.com/p/CrfRD5HNWNe/,1000fenster,"#frankfurt / #peace 

.
.
 
.
#urban #urbanphotography #frankfurtammain #germany #streetphotography #mainhattan #germanytourism #picoftheday #독일 #like4likes #instaphoto #travelgram #photooftheday #instadaily #picoftheday #hobbyphotography #hobbtphotography #urbanart #urbanart #contemporary #dove #architecture #travel #ドイツ #contemporaryart #ukraine #streetart #streetartphotography #ffm #slavaukraini",13,1,Frankfurt nad Menem
https://www.instagram.com/p/CrfO4hboDyO/,djmaydesign,"April snow 
djessemay.com.
.
.
.
 #switzerland #nature #natur #djessemay #leica #hiking #landscapephotography #landscape #landschaft  #scenic #blackandwhite #blackandwhitephotography #bnw #bnwphotography #monochrome #noiretblanc #schwarzweiss  #travelphotography #travel #documentary #trees #worldscapes  #slavaukraini #climatechange  #artgallery #snow #weather #panorama #graubünden #standwithukraine",41,2,"Morissen, Switzerland"
https://www.instagram.com/p/CrfKUfCNyJg/,spudgunner,"Loading up with wrapped presents, to send towards the terrorist Putin 💀🇺🇦#slavaukraini #bazooka #sweets #h0 #h0figures #h0scale #miniaturepeoplephotography #miniaturepeople #sigma105macro #nikond3500",26,1,None
https://www.instagram.com/p/CrfET9mK3QE/,oly_d8,"It really is good to have Friends ❤️

#ukraine  #slavaukraini
#standwithukraine",8,0,None
https://www.instagram.com/p/Cre-NpNopVI/,christopherraunleth_cph,Meeting under the cherry blossoms #sakura #cherryblossom #spring #springtime #copenhagen #denmark #igdaily #igers #igerscopenhagen #igersdenmark #photography #photooftheday #instagood #instadaily #nikon #nikonphotography #nikond850  #ukraine #putinswar #ukrainewar #standwithukraine #slavaukraini 🇺🇦🇺🇦🇺🇦,148,1,Langelinieparken
https://www.instagram.com/p/Crey_c0rnbi/,christopherperdiz,"Float like a 🦋, run like a 🐝. 
Coulda been a con-TEN-der except I forgot to restart my watch and missed a loop. Strides PB Clinic starting up for the Spring. 

#stridesrunclub #NuunAmbassador #teamnuun #teamnuun2023 #muuvment #fizzingawesome #nuunlife #nuunlove #outway #squirrelsnutbutter #runyyc #yycrun #canadianrunning #firetheUCP #resignseanchu #resigndanmclean #SlavaUkraini #NuunForNature",19,0,Calgary
https://www.instagram.com/p/CrewKPjocQk/,laissezpere,"Baltasar, my little helper with the Ukrainian kids tonight. Boxcar rallies, floor is lava, and ball games. #slavaukraini #flottafólk #likefatherlikeson @olenajadallah_official",4,0,None
